FASE,REF,RODADA (ROD),DATA,DIA,HORA,MANDANTE,G_M,VISITANTE,G_V,ESTÁDIO,CIDADE
Oitavas de Final,1,Oitavas de Final,07/07,Ter,17:00,ASA,9,DZM,0,Clube do Servidor,Arapiraca
Oitavas de Final,2,Oitavas de Final,07/07,Ter,15:00,Atlético Alagoano,0,CEO,3,Universitário da UFAL,Maceió
Oitavas de Final,3,Oitavas de Final,07/07,Ter,15:00,CSA,0,Liga Penedense,0,CT Gustavo Paiva,Maceió
Oitavas de Final,4,Oitavas de Final,09/07,Qui,17:00,Cruzeiro,2,Independente Atalaia,1,Clube do Servidor,Arapiraca
Oitavas de Final,5,Oitavas de Final,08/07,Qua,15:00,Atlético Bocamatense,1,M10 Rio Largo,2,Manuzão,Boca da Mata
Oitavas de Final,6,Oitavas de Final,08/07,Qua,15:00,Atlético São José,0,CRB,3,Luiz da Silva Maia,São José da Tapera
Oitavas de Final,7,Oitavas de Final,09/07,Qui,15:00,Chuts FC,0,Ponte Preta,1,Universitário da UFAL,Maceió
Oitavas de Final,8,Oitavas de Final,08/07,Qua,15:00,Sport MDO,1,Murici SC,1,Universitário da UFAL,Maceió
Oitavas de Final,9,Oitavas de Final,15/07,Qua,15:00,DZM,0,ASA,3,Flor do Cambará,Passo de Camaragibe
Oitavas de Final,10,Oitavas de Final,15/07,Qua,15:00,CEO,2,Atlético Alagoano,0,Édson Matias,Olho D'Água das Flores
Oitavas de Final,11,Oitavas de Final,15/07,Qua,15:00,Liga Penedense,0,CSA,0,Alfredo Leahy,Penedo
Oitavas de Final,12,Oitavas de Final,16/07,Qui,15:00,Independente Atalaia,1,Cruzeiro,0,Luiz Pontes,Atalaia
Oitavas de Final,13,Oitavas de Final,16/07,Qui,15:00,M10 Rio Largo,1,Atlético Bocamatense,1,Universitário da UFAL,Maceió
Oitavas de Final,14,Oitavas de Final,16/07,Qui,15:00,CRB,5,Atlético São José,0,CT Ninho do Galo,Barra de São Miguel
Oitavas de Final,15,Oitavas de Final,15/07,Qua,15:00,Ponte Preta,1,Chuts FC,2,Andradão,Barra de São Miguel
Oitavas de Final,16,Oitavas de Final,15/07,Qua,15:00,Murici SC,0,Sport MDO,1,José Gomes da Costa,Murici
Quartas de Final,17,Quartas de Final,22/07,Qua,15:00,Liga Penedense,,ASA,,Alfredo Leahy,Penedo
Quartas de Final,18,Quartas de Final,23/07,Qui,15:00,Chuts FC,,CRB,,Universitário da UFAL,Maceió
Quartas de Final,19,Quartas de Final,22/07,Qua,15:00,Sport MDO,,CEO,,Universitário da UFAL,Maceió
Quartas de Final,20,Quartas de Final,23/07,Qui,18:00,Cruzeiro,,M10 Rio Largo,,Clube do Servidor,Arapiraca
Quartas de Final,21,Quartas de Final,30/07,Qui,17:00,ASA,,Liga Penedense,,Clube do Servidor,Arapiraca
Quartas de Final,22,Quartas de Final,29/07,Qua,15:00,CRB,,Chuts FC,,CT Ninho do Galo,Barra de São Miguel
Quartas de Final,23,Quartas de Final,30/07,Qui,15:00,CEO,,Sport MDO,,Édson Matias,Olho D'Água das Flores
Quartas de Final,24,Quartas de Final,29/07,Qua,15:00,M10 Rio Largo,,Cruzeiro,,Universitário da UFAL,Maceió
